Shape,Carat,Cut,Color,Clarity,Polish,Symmetry,L/W Ratio,Report,Depth,Table,Fluorescence,Culet,Date Loose,Price,ln price,ln carat
 Princess,0.23,Very Good,I,VS1,VG,VG,1.04,GIA,74.2,75,Faint,None,12/10/2008,270.00,5.59842196,-1.469676
 Round,0.3,Very Good,H,SI1,G,VG,1.01,GIA,62.3,59,Medium Blue,None,12/12/2008,278.00,5.62762111,-1.2039728
 Round,0.23,Very Good,I,SI1,G,G,1.02,GIA,59.9,61,None,None,12/10/2008,289.00,5.66642669,-1.469676
 Round,0.3,Very Good,I,SI2,VG,VG,1.01,GIA,63.4,56,None,Very Small,12/10/2008,289.00,5.66642669,-1.2039728
 Round,0.23,Good,I,SI1,VG,VG,1.01,GIA,62.9,64,Faint,None,12/10/2008,291.00,5.67332327,-1.469676
 Round,0.27,Ideal,J,VS2,VG,VG,1.01,GIA,61.9,55,Faint,None,12/10/2008,293.00,5.68017261,-1.3093333
 Round,0.32,Good,J,SI2,VG,G,1.01,GIA,58.5,60,None,None,12/10/2008,294.00,5.68357977,-1.1394343
 Round,0.28,Ideal,J,VS1,ID,ID,1.01,AGSL,61.7,56,None,None,12/10/2008,298.00,5.69709349,-1.2729657
 Round,0.28,Ideal,J,VS1,ID,ID,1.01,AGSL,61.4,56,None,None,12/10/2008,298.00,5.69709349,-1.2729657
 Round,0.31,Very Good,I,SI2,EX,VG,1.01,GIA,58.7,61,Faint,Very Small,12/10/2008,299.00,5.70044357,-1.171183
 Round,0.3,Very Good,I,SI1,EX,EX,1,GIA,62.4,56,None,None,12/17/2008,303.00,5.71373281,-1.2039728
 Round,0.3,Very Good,I,SI1,EX,EX,1,GIA,62.6,58,Medium Blue,None,12/17/2008,303.00,5.71373281,-1.2039728
 Round,0.31,Very Good,H,SI2,EX,EX,1.01,GIA,62.9,55,Medium Blue,None,12/17/2008,304.00,5.7170277,-1.171183
 Round,0.26,Ideal,H,SI2,VG,EX,1.01,GIA,61.6,55,None,None,12/10/2008,306.00,5.7235851,-1.3470736
 Princess,0.26,Very Good,I,VVS2,VG,VG,1.04,GIA,72.3,75,Faint,None,12/10/2008,306.00,5.7235851,-1.3470736
 Round,0.26,Ideal,J,VS1,EX,VG,1.01,GIA,61.7,55,Faint,None,12/10/2008,306.00,5.7235851,-1.3470736
 Round,0.26,Ideal,J,VS1,EX,EX,1.01,GIA,61.6,55,None,None,12/10/2008,306.00,5.7235851,-1.3470736
 Princess,0.23,Good,D,VS2,EX,G,1.01,GIA,61.9,73,None,None,12/09/2008,307.00,5.72684775,-1.469676
 Emerald,0.23,Very Good,D,VS1,VG,VG,1.57,GIA,66.3,68,None,None,12/17/2008,309.00,5.73334128,-1.469676
 Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,62.8,57,None,None,12/17/2008,310.00,5.7365723,-1.2039728
 Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,63,58,Faint,None,12/17/2008,310.00,5.7365723,-1.2039728
 Round,0.3,Very Good,G,SI2,EX,EX,1,GIA,62.5,53,Faint,None,12/17/2008,310.00,5.7365723,-1.2039728
 Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,63,55,None,None,12/17/2008,310.00,5.7365723,-1.2039728
 Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,62.3,57,None,None,12/17/2008,310.00,5.7365723,-1.2039728
 Princess,0.31,Very Good,G,VS1,VG,G,1.01,GIA,72.9,65,None,None,12/10/2008,311.00,5.73979291,-1.171183
 Round,0.23,Very Good,I,VVS1,EX,VG,1.01,GIA,59.4,58,None,None,12/10/2008,313.00,5.74620319,-1.469676
 Round,0.32,Ideal,I,SI1,VG,EX,1.01,GIA,61.4,56,Strong Blue,None,12/17/2008,313.00,5.74620319,-1.1394343
 Emerald,0.23,Very Good,D,SI1,VG,G,1.33,GIA,66.3,69,Medium,None,12/09/2008,314.00,5.74939299,-1.469676
 Princess,0.24,Very Good,I,VVS2,VG,G,1.01,GIA,72.1,73,Medium,None,12/10/2008,314.00,5.74939299,-1.4271164
 Round,0.25,Very Good,I,SI1,G,VG,1.01,GIA,63.6,58,Faint,None,12/10/2008,314.00,5.74939299,-1.3862944
 Princess,0.3,Very Good,I,SI1,VG,VG,1.05,GIA,73.9,76,None,None,12/11/2008,314.00,5.74939299,-1.2039728
 Round,0.31,Very Good,I,SI2,VG,EX,1.01,GIA,60.1,56,Faint,None,12/10/2008,314.00,5.74939299,-1.171183
 Princess,0.26,Very Good,I,VVS2,VG,VG,1.03,GIA,73.3,67,None,None,12/10/2008,315.00,5.75257264,-1.3470736
 Round,0.32,Ideal,I,SI2,VG,VG,1,GIA,58.4,61,None,None,12/10/2008,316.00,5.75574221,-1.1394343
 Round,0.32,Very Good,I,SI2,VG,VG,1,GIA,59,56,None,Small,12/11/2008,316.00,5.75574221,-1.1394343
 Round,0.32,Ideal,I,SI2,VG,VG,1,GIA,61.3,57,None,Very Small,12/10/2008,316.00,5.75574221,-1.1394343
 Round,0.32,Ideal,I,SI2,VG,VG,1,GIA,60,60,None,None,12/10/2008,316.00,5.75574221,-1.1394343
 Round,0.32,Ideal,I,SI2,EX,VG,1,GIA,61.9,59,None,None,12/10/2008,316.00,5.75574221,-1.1394343
 Round,0.32,Good,I,SI2,VG,VG,1,GIA,58.8,60,None,None,12/10/2008,316.00,5.75574221,-1.1394343
 Round,0.23,Ideal,I,VS1,VG,EX,1.01,GIA,61.4,56,None,None,12/10/2008,318.00,5.76205138,-1.469676
 Emerald,0.23,Good,D,VS1,VG,VG,1.42,GIA,71.8,68,None,None,12/09/2008,318.00,5.76205138,-1.469676
 Emerald,0.27,Very Good,G,VS1,VG,VG,1.37,GIA,68.9,66,None,None,12/10/2008,318.00,5.76205138,-1.3093333
 Round,0.32,Very Good,I,SI2,VG,VG,1.01,GIA,58.9,60,Medium,Very Small,12/10/2008,318.00,5.76205138,-1.1394343
 Round,0.33,Very Good,I,SI2,EX,VG,1.01,GIA,63.3,57,None,None,12/10/2008,319.00,5.7651911,-1.1086626
 Princess,0.23,Very Good,D,VS1,VG,VG,1.04,GIA,74.2,74,None,None,12/17/2008,321.00,5.77144112,-1.469676
 Round,0.3,Very Good,I,VS2,VG,VG,1.01,GIA,60.7,60,Strong Blue,None,12/10/2008,321.00,5.77144112,-1.2039728
 Round,0.32,Very Good,I,SI2,EX,VG,1.01,GIA,63.4,57,None,None,12/10/2008,321.00,5.77144112,-1.1394343
 Emerald,0.23,Good,D,VS2,VG,G,1.46,GIA,57.5,70,None,None,12/09/2008,322.00,5.77455155,-1.469676
 Round,0.3,Ideal,G,SI2,EX,VG,1.01,GIA,62.1,57,None,None,12/17/2008,322.00,5.77455155,-1.2039728
 Round,0.3,Ideal,H,SI2,VG,EX,1.01,GIA,61.5,56,None,None,12/10/2008,322.00,5.77455155,-1.2039728
 Round,0.3,Very Good,I,SI1,VG,VG,1,GIA,62.7,57,None,None,12/10/2008,322.00,5.77455155,-1.2039728
 Princess,0.23,Very Good,D,VS1,G,VG,1.04,GIA,68.7,73,None,None,12/09/2008,323.00,5.77765232,-1.469676
 Round,0.33,Very Good,I,SI2,VG,G,1.01,GIA,58.6,63,None,None,12/10/2008,323.00,5.77765232,-1.1086626
 Round,0.28,Ideal,G,SI2,VG,EX,1,GIA,61.9,55,None,None,12/10/2008,324.00,5.78074352,-1.2729657
 Princess,0.23,Very Good,D,VS2,VG,G,1.03,GIA,72.1,73,None,None,12/17/2008,325.00,5.78382518,-1.469676
 Round,0.26,Ideal,I,VVS2,EX,EX,1.01,GIA,61.7,56,Strong,None,12/10/2008,325.00,5.78382518,-1.3470736
 Round,0.31,Very Good,H,SI2,VG,VG,1,GIA,60.4,59,None,None,12/11/2008,325.00,5.78382518,-1.171183
 Emerald,0.23,Very Good,D,VS1,EX,VG,1.43,GIA,60.5,72,None,None,12/09/2008,326.00,5.78689738,-1.469676
 Princess,0.32,Good,G,SI1,VG,VG,1.06,GIA,76.6,74,None,None,12/10/2008,326.00,5.78689738,-1.1394343
 Round,0.26,Ideal,I,VS1,EX,EX,1.01,GIA,61.5,56,Strong,None,12/10/2008,327.00,5.78996017,-1.3470736
 Princess,0.3,Good,H,VS1,VG,G,1.04,GIA,78,69,None,None,12/10/2008,327.00,5.78996017,-1.2039728
 Princess,0.3,Good,H,SI1,EX,VG,1,GIA,73.8,80,Faint,None,12/11/2008,327.00,5.78996017,-1.2039728
 Round,0.3,Ideal,I,SI1,EX,EX,1,GIA,62.5,56,None,None,12/17/2008,327.00,5.78996017,-1.2039728
 Princess,0.24,Good,D,VS1,VG,VG,1.01,GIA,60.5,72,None,None,12/09/2008,328.00,5.79301361,-1.4271164
 Princess,0.32,Good,D,SI2,VG,G,1,GIA,75.5,71,None,None,12/09/2008,333.00,5.80814249,-1.1394343
 Princess,0.23,Very Good,D,VS2,VG,VG,1.02,GIA,71.8,71,None,None,12/17/2008,338.00,5.8230459,-1.469676
 Emerald,0.31,Fair,D,SI2,VG,VG,1.31,GIA,75.1,65,None,None,12/10/2008,338.00,5.8230459,-1.171183
 Princess,0.23,Good,G,VVS2,EX,G,1.02,GIA,59.7,73,Faint,None,12/10/2008,342.00,5.83481074,-1.469676
 Princess,0.26,Very Good,D,SI1,EX,VG,1.04,GIA,74.1,72,None,None,12/09/2008,342.00,5.83481074,-1.3470736
 Emerald,0.28,Very Good,G,VS1,EX,VG,1.38,GIA,69.9,70,None,None,12/10/2008,342.00,5.83481074,-1.2729657
 Round,0.32,Ideal,G,SI2,EX,VG,1,GIA,61.7,56,None,None,12/17/2008,343.00,5.83773045,-1.1394343
 Round,0.32,Ideal,G,SI2,VG,EX,1,GIA,61.7,56,None,None,12/10/2008,343.00,5.83773045,-1.1394343
 Princess,0.31,Very Good,G,VS1,VG,VG,1.04,GIA,74.7,77,None,None,12/10/2008,344.00,5.84064166,-1.171183
 Round,0.23,Very Good,D,SI2,EX,VG,1,GIA,62.2,61,None,None,12/09/2008,346.00,5.84643878,-1.469676
 Round,0.23,Very Good,D,SI2,VG,VG,1.01,GIA,60.5,65,None,None,12/09/2008,346.00,5.84643878,-1.469676
 Round,0.23,Very Good,D,SI2,G,VG,1.01,GIA,62.3,57,None,None,12/09/2008,346.00,5.84643878,-1.469676
 Round,0.23,Very Good,D,SI2,VG,G,1.01,GIA,63.3,56,None,None,12/09/2008,346.00,5.84643878,-1.469676
 Emerald,0.26,Very Good,D,SI1,VG,G,1.32,GIA,64.8,70,None,None,12/09/2008,346.00,5.84643878,-1.3470736
 Princess,0.3,Very Good,D,SI1,VG,G,1.11,GIA,71.5,76,None,None,12/09/2008,346.00,5.84643878,-1.2039728
 Round,0.24,Good,G,SI1,VG,VG,1.01,GIA,62.9,63,None,None,12/10/2008,347.00,5.84932478,-1.4271164
 Round,0.24,Good,G,SI1,G,G,1.01,GIA,60.3,65,None,None,12/10/2008,347.00,5.84932478,-1.4271164
 Round,0.24,Good,G,SI1,VG,VG,1.01,GIA,61.3,63,None,None,12/10/2008,347.00,5.84932478,-1.4271164
 Round,0.31,Very Good,G,SI2,EX,EX,1.01,GIA,62.4,55,None,None,12/10/2008,347.00,5.84932478,-1.171183
 Round,0.23,Good,E,SI1,VG,G,1.01,GIA,61.6,65,None,None,12/10/2008,348.00,5.85220248,-1.469676
 Round,0.23,Good,E,SI1,VG,VG,1.01,GIA,63.5,64,Medium,None,12/10/2008,348.00,5.85220248,-1.469676
 Round,0.23,Ideal,E,SI1,VG,VG,1.01,GIA,61.1,60,None,None,12/10/2008,348.00,5.85220248,-1.469676
 Round,0.3,Very Good,G,VS2,VG,VG,1,GIA,62.4,58,Strong Blue,None,12/12/2008,348.00,5.85220248,-1.2039728
 Round,0.3,Ideal,G,SI2,EX,VG,1.01,GIA,61.3,56,None,None,12/10/2008,349.00,5.85507192,-1.2039728
 Round,0.3,Ideal,G,SI2,EX,VG,1.01,GIA,60.4,56,None,None,12/10/2008,349.00,5.85507192,-1.2039728
 Round,0.23,Very Good,E,SI1,VG,VG,1.01,GIA,62,56,None,None,12/10/2008,350.00,5.85793315,-1.469676
 Round,0.23,Very Good,E,SI1,VG,VG,1.01,GIA,60.5,60,None,None,12/10/2008,350.00,5.85793315,-1.469676
 Round,0.23,Very Good,E,SI1,VG,VG,1.01,GIA,63.4,58,None,None,12/10/2008,350.00,5.85793315,-1.469676
 Round,0.26,Very Good,G,SI1,EX,EX,1,GIA,61.3,57,None,None,12/17/2008,350.00,5.85793315,-1.3470736
 Round,0.26,Good,G,SI2,VG,VG,1.01,GIA,62.5,62,None,None,12/10/2008,351.00,5.86078622,-1.3470736
 Princess,0.27,Good,E,SI1,EX,G,1.02,GIA,59.5,71,None,None,12/10/2008,351.00,5.86078622,-1.3093333
 Round,0.3,Very Good,G,SI2,VG,VG,1,GIA,62.3,59,None,Very Small,12/10/2008,351.00,5.86078622,-1.2039728
 Princess,0.32,Very Good,G,SI1,EX,VG,1.01,GIA,73.9,75,None,None,12/10/2008,351.00,5.86078622,-1.1394343
 Round,0.23,Very Good,E,SI2,VG,VG,1.01,GIA,61.9,61,None,None,12/10/2008,352.00,5.86363118,-1.469676
 Round,0.31,Ideal,G,SI2,EX,EX,1.01,GIA,61.9,57,None,None,12/17/2008,352.00,5.86363118,-1.171183
 Round,0.31,Ideal,G,SI2,EX,EX,1,GIA,61.6,56,None,None,12/17/2008,352.00,5.86363118,-1.171183
 Round,0.31,Ideal,G,SI2,EX,EX,1,GIA,61.5,56,Faint,None,12/10/2008,352.00,5.86363118,-1.171183
 Emerald,0.3,Very Good,E,VS2,VG,VG,1.28,GIA,60.6,71,None,None,12/18/2008,354.00,5.86929691,-1.2039728
 Round,0.3,Very Good,E,SI2,VG,G,1.02,GIA,61,57,None,None,12/10/2008,355.00,5.87211779,-1.2039728
 Princess,0.31,Very Good,E,SI1,EX,VG,1.05,GIA,66.8,76,None,None,12/10/2008,356.00,5.87493073,-1.171183
 Round,0.26,Ideal,E,SI2,EX,EX,1,GIA,61,56,Medium Blue,None,12/10/2008,357.00,5.87773578,-1.3470736
 Round,0.35,Very Good,H,SI1,VG,VG,1.01,GIA,63.5,56,None,None,12/12/2008,357.00,5.87773578,-1.0498221
 Round,0.31,Very Good,H,SI1,G,G,1.01,GIA,61.1,57,None,None,12/10/2008,358.00,5.88053299,-1.171183
